Year,Round,EventName,Country,SessionType,DriverNumber,BroadcastName,Abbreviation,TeamName,Position,GridPosition,Status,Points
2024,1,Bahrain Grand Prix,Bahrain,FP2,16,C LECLERC,LEC,Ferrari,,,,
2024,1,Bahrain Grand Prix,Bahrain,FP2,18,L STROLL,STR,Aston Martin,,,,
2024,1,Bahrain Grand Prix,Bahrain,FP2,20,K MAGNUSSEN,MAG,Haas F1 Team,,,,
2024,1,Bahrain Grand Prix,Bahrain,FP2,22,Y TSUNODA,TSU,RB,,,,
2024,1,Bahrain Grand Prix,Bahrain,FP2,23,A ALBON,ALB,Williams,,,,
2024,1,Bahrain Grand Prix,Bahrain,FP2,24,G ZHOU,ZHO,Kick Sauber,,,,
2024,1,Bahrain Grand Prix,Bahrain,FP2,27,N HULKENBERG,HUL,Haas F1 Team,,,,
2024,1,Bahrain Grand Prix,Bahrain,FP2,31,E OCON,OCO,Alpine,,,,
2024,1,Bahrain Grand Prix,Bahrain,FP2,44,L HAMILTON,HAM,Mercedes,,,,
2024,1,Bahrain Grand Prix,Bahrain,FP2,55,C SAINZ,SAI,Ferrari,,,,
2024,1,Bahrain Grand Prix,Bahrain,FP2,63,G RUSSELL,RUS,Mercedes,,,,
2024,1,Bahrain Grand Prix,Bahrain,FP2,77,V BOTTAS,BOT,Kick Sauber,,,,
2024,1,Bahrain Grand Prix,Bahrain,FP2,81,O PIASTRI,PIA,McLaren,,,,
2024,1,Bahrain Grand Prix,Bahrain,FP3,1,M VERSTAPPEN,VER,Red Bull Racing,,,,
2024,1,Bahrain Grand Prix,Bahrain,FP3,2,L SARGEANT,SAR,Williams,,,,
2024,1,Bahrain Grand Prix,Bahrain,FP3,3,D RICCIARDO,RIC,RB,,,,
2024,1,Bahrain Grand Prix,Bahrain,FP3,4,L NORRIS,NOR,McLaren,,,,
2024,1,Bahrain Grand Prix,Bahrain,FP3,10,P GASLY,GAS,Alpine,,,,
2024,1,Bahrain Grand Prix,Bahrain,FP3,11,S PEREZ,PER,Red Bull Racing,,,,
2024,1,Bahrain Grand Prix,Bahrain,FP3,14,F ALONSO,ALO,Aston Martin,,,,
2024,1,Bahrain Grand Prix,Bahrain,FP3,16,C LECLERC,LEC,Ferrari,,,,
2024,1,Bahrain Grand Prix,Bahrain,FP3,18,L STROLL,STR,Aston Martin,,,,
2024,1,Bahrain Grand Prix,Bahrain,FP3,20,K MAGNUSSEN,MAG,Haas F1 Team,,,,
2024,1,Bahrain Grand Prix,Bahrain,FP3,22,Y TSUNODA,TSU,RB,,,,
