Year,Round,EventName,Country,SessionType,DriverNumber,BroadcastName,Abbreviation,TeamName,Position,GridPosition,Status,Points
2023,1,Bahrain Grand Prix,Bahrain,FP1,1,M VERSTAPPEN,VER,Red Bull Racing,,,,
2023,1,Bahrain Grand Prix,Bahrain,FP1,2,L SARGEANT,SAR,Williams,,,,
2023,1,Bahrain Grand Prix,Bahrain,FP1,4,L NORRIS,NOR,McLaren,,,,
2023,1,Bahrain Grand Prix,Bahrain,FP1,10,P GASLY,GAS,Alpine,,,,
2023,1,Bahrain Grand Prix,Bahrain,FP1,11,S PEREZ,PER,Red Bull Racing,,,,
2023,1,Bahrain Grand Prix,Bahrain,FP1,14,F ALONSO,ALO,Aston Martin,,,,
2023,1,Bahrain Grand Prix,Bahrain,FP1,16,C LECLERC,LEC,Ferrari,,,,
2023,1,Bahrain Grand Prix,Bahrain,FP1,18,L STROLL,STR,Aston Martin,,,,
2023,1,Bahrain Grand Prix,Bahrain,FP1,20,K MAGNUSSEN,MAG,Haas F1 Team,,,,
2023,1,Bahrain Grand Prix,Bahrain,FP1,21,N DE VRIES,DEV,AlphaTauri,,,,
2023,1,Bahrain Grand Prix,Bahrain,FP1,22,Y TSUNODA,TSU,AlphaTauri,,,,
2023,1,Bahrain Grand Prix,Bahrain,FP1,23,A ALBON,ALB,Williams,,,,
2023,1,Bahrain Grand Prix,Bahrain,FP1,24,G ZHOU,ZHO,Alfa Romeo,,,,
2023,1,Bahrain Grand Prix,Bahrain,FP1,27,N HULKENBERG,HUL,Haas F1 Team,,,,
2023,1,Bahrain Grand Prix,Bahrain,FP1,31,E OCON,OCO,Alpine,,,,
2023,1,Bahrain Grand Prix,Bahrain,FP1,44,L HAMILTON,HAM,Mercedes,,,,
2023,1,Bahrain Grand Prix,Bahrain,FP1,55,C SAINZ,SAI,Ferrari,,,,
2023,1,Bahrain Grand Prix,Bahrain,FP1,63,G RUSSELL,RUS,Mercedes,,,,
2023,1,Bahrain Grand Prix,Bahrain,FP1,77,V BOTTAS,BOT,Alfa Romeo,,,,
2023,1,Bahrain Grand Prix,Bahrain,FP1,81,O PIASTRI,PIA,McLaren,,,,
2023,1,Bahrain Grand Prix,Bahrain,FP2,1,M VERSTAPPEN,VER,Red Bull Racing,,,,
2023,1,Bahrain Grand Prix,Bahrain,FP2,2,L SARGEANT,SAR,Williams,,,,
2023,1,Bahrain Grand Prix,Bahrain,FP2,4,L NORRIS,NOR,McLaren,,,,
2023,1,Bahrain Grand Prix,Bahrain,FP2,10,P GASLY,GAS,Alpine,,,,
2023,1,Bahrain Grand Prix,Bahrain,FP2,11,S PEREZ,PER,Red Bull Racing,,,,
2023,1,Bahrain Grand Prix,Bahrain,FP2,14,F ALONSO,ALO,Aston Martin,,,,
2023,1,Bahrain Grand Prix,Bahrain,FP2,16,C LECLERC,LEC,Ferrari,,,,
2023,1,Bahrain Grand Prix,Bahrain,FP2,18,L STROLL,STR,Aston Martin,,,,
2023,1,Bahrain Grand Prix,Bahrain,FP2,20,K MAGNUSSEN,MAG,Haas F1 Team,,,,
2023,1,Bahrain Grand Prix,Bahrain,FP2,21,N DE VRIES,DEV,AlphaTauri,,,,
2023,1,Bahrain Grand Prix,Bahrain,FP2,22,Y TSUNODA,TSU,AlphaTauri,,,,
2023,1,Bahrain Grand Prix,Bahrain,FP2,23,A ALBON,ALB,Williams,,,,
2023,1,Bahrain Grand Prix,Bahrain,FP2,24,G ZHOU,ZHO,Alfa Romeo,,,,
2023,1,Bahrain Grand Prix,Bahrain,FP2,27,N HULKENBERG,HUL,Haas F1 Team,,,,
2023,1,Bahrain Grand Prix,Bahrain,FP2,31,E OCON,OCO,Alpine,,,,
2023,1,Bahrain Grand Prix,Bahrain,FP2,44,L HAMILTON,HAM,Mercedes,,,,
2023,1,Bahrain Grand Prix,Bahrain,FP2,55,C SAINZ,SAI,Ferrari,,,,
2023,1,Bahrain Grand Prix,Bahrain,FP2,63,G RUSSELL,RUS,Mercedes,,,,
2023,1,Bahrain Grand Prix,Bahrain,FP2,77,V BOTTAS,BOT,Alfa Romeo,,,,
2023,1,Bahrain Grand Prix,Bahrain,FP2,81,O PIASTRI,PIA,McLaren,,,,
2023,1,Bahrain Grand Prix,Bahrain,FP3,1,M VERSTAPPEN,VER,Red Bull Racing,,,,
2023,1,Bahrain Grand Prix,Bahrain,FP3,2,L SARGEANT,SAR,Williams,,,,
2023,1,Bahrain Grand Prix,Bahrain,FP3,4,L NORRIS,NOR,McLaren,,,,
2023,1,Bahrain Grand Prix,Bahrain,FP3,10,P GASLY,GAS,Alpine,,,,
